Place,Novice,Gender,Speaker,Team,Team Points,Speaker Points,AVG,#1,#2,#3,#4,#5,#6,#7,#8,#9
266,,Undefined,Harshvardhan Sanghi,Duke SY,7,442,73.7,76,75,68,74,75,74,0,0,0
275,,Undefined,Jeremy Ryant,Sodales OR,7,441,73.5,71,75,71,75,74,75,0,0,0
275,,Undefined,Liza Bukingolts,Columbia YB,8,441,73.5,72,71,66,77,78,77,0,0,0
275,,Undefined,Jeeventh Kaur,McGill KP,7,441,73.5,75,68,77,72,73,76,0,0,0
275,,Undefined,Patricia Ong,CUNY OR,6,441,73.5,70,71,74,76,75,75,0,0,0
275,,Undefined,Carrie Zhang,Colgate MZ,8,441,73.5,75,72,68,76,73,77,0,0,0
275,,Undefined,Michelle Gironda,Loyola Marymount CG,9,441,73.5,72,73,74,71,75,76,0,0,0
275,,Undefined,Brynn Park,McGill KP,7,441,73.5,76,69,75,74,72,75,0,0,0
282,,Undefined,Benjamin Barnes,Vassar BK,5,440,73.3,74,75,74,71,76,70,0,0,0
282,,Undefined,Maya Smith,Swarthmore CS,6,440,73.3,75,69,72,77,74,73,0,0,0
282,,Undefined,Lumi Halitjaha,Colgate BH,6,440,73.3,74,73,75,76,70,72,0,0,0
285,,Undefined,Kenneth Deterding,Vassar DP,8,439,73.2,75,75,70,75,73,71,0,0,0
285,,Undefined,Parveer Kaur,Vassar BK,5,439,73.2,73,74,74,72,74,72,0,0,0
285,,Undefined,Sonja English,Wesleyan AE,7,439,73.2,75,74,76,70,68,76,0,0,0
288,,Undefined,Daniel Chaiken,Swarthmore CS,6,438,73,73,71,74,77,74,69,0,0,0
288,,Undefined,Charlotte Massey,Middlebury MF,4,438,73,71,74,74,75,72,72,0,0,0
288,,Undefined,Nan Munger,Stanford DM,8,438,73,73,69,75,74,73,74,0,0,0
291,,Undefined,Emi Yasuda,Hart House MY,5,437,72.8,72,75,76,71,73,70,0,0,0
291,,Undefined,Olivia Dugan,GWU KD,7,437,72.8,74,71,72,75,72,73,0,0,0
291,,Undefined,Alison Bogy,Tufts BH,7,437,72.8,65,76,74,76,72,74,0,0,0
291,,Undefined,Maggie O'Riordan Ross,Sodales OR,7,437,72.8,71,74,71,73,74,74,0,0,0
295,,Undefined,Kenny Fernandez,Middlebury MF,4,436,72.7,75,72,73,74,72,70,0,0,0
295,,Undefined,Jeff Liu,Brandeis HL,6,436,72.7,74,77,69,73,70,73,0,0,0
297,,Undefined,Jordan Scott-Ruiz,Middlebury/Penn SR,7,435,72.5,65,76,72,74,74,74,0,0,0
297,,Undefined,Annamaria Basile,St. John BN,6,435,72.5,73,71,72,75,74,70,0,0,0
297,,Undefined,Dana Horowitz,Tufts BH,7,435,72.5,67,75,74,74,70,75,0,0,0
297,,Undefined,Liam Isaacs,Wesleyan IW,7,435,72.5,74,70,73,70,78,70,0,0,0
301,,Undefined,Lauren Yagoda,Columbia YB,8,432,72,70,68,64,76,78,76,0,0,0
301,,Undefined,Natalie Hales,West Point GH,7,432,72,77,70,72,74,73,66,0,0,0
301,,Undefined,Fred Gui,JHU-SAIS XG,8,432,72,69,63,76,74,73,77,0,0,0
301,,Undefined,Emily Gerace,Fordham OBG,6,432,72,73,73,74,71,76,65,0,0,0
305,,Undefined,Jackson Kane,King's JK,5,431,71.8,74,75,72,74,72,64,0,0,0
305,,Undefined,Boyang Xue,JHU-SAIS XG,8,431,71.8,72,63,76,70,72,78,0,0,0
305,,Undefined,Marlynna Blumer,Colgate BH,6,431,71.8,72,68,75,71,72,73,0,0,0
308,,Undefined,Rachel Madore,Louisiana Tech MM,4,430,71.7,70,70,76,71,73,70,0,0,0
308,,Undefined,Seth Wernick,Wesleyan IW,7,430,71.7,75,70,71,68,74,72,0,0,0
310,,Undefined,Maxwell Hunsinger,Brandeis HL,6,428,71.3,70,76,69,71,69,73,0,0,0
311,,Undefined,Tsion Kiros,Bard KL,4,427,71.2,72,74,73,71,74,63,0,0,0
311,,Undefined,Jennifer Hibberts,Clemson HM,5,427,71.2,74,68,75,68,74,68,0,0,0
311,,Undefined,John Henry Murdy,Clemson HM,5,427,71.2,73,69,75,68,74,68,0,0,0
311,,Undefined,Alessandra McGowan,McGill MR,5,427,71.2,74,66,73,70,71,73,0,0,0
315,,Undefined,Linnea LaCelle-Peterson,Bard KL,4,426,71,72,74,75,69,73,63,0,0,0
315,,Undefined,Junette Yu,Duke SY,7,426,71,73,70,68,73,70,72,0,0,0
315,,Undefined,Andrew Solender,Vassar DS,6,426,71,73,70,67,73,71,72,0,0,0
318,,Undefined,Koby Jackson,King's JK,5,425,70.8,73,74,71,73,70,64,0,0,0
318,,Undefined,Max DuBois,Vassar DS,6,425,70.8,71,69,63,73,76,73,0,0,0
320,,Undefined,Louise Rivet,McGill MR,5,424,70.7,74,66,72,69,70,73,0,0,0
320,,Undefined,Megan Solomon,St. John DS,4,424,70.7,71,70,73,70,71,69,0,0,0
322,,Undefined,Melissa Gammons,West Point GH,7,423,70.5,72,68,72,73,72,66,0,0,0
323,,Undefined,Michael Gasparovic,GWU GK,3,422,70.3,74,69,75,69,67,68,0,0,0
324,,Undefined,Katie O'Brien,Fordham OBG,6,421,70.2,72,73,64,72,75,65,0,0,0
324,,Undefined,robiul alam,CUNY AF,2,421,70.2,69,75,72,67,65,73,0,0,0
326,,Undefined,Min Hee Kim,GWU GK,3,420,70,73,68,74,70,67,68,0,0,0
327,,Undefined,Shi Tuck,Stanford ST,6,419,69.8,68,72,72,71,64,72,0,0,0
327,,Undefined,Rachel Maxwell,Louisiana Tech MM,4,419,69.8,68,66,77,70,69,69,0,0,0
327,,Undefined,Diana Ybarra,Fordham PY,4,419,69.8,70,71,66,72,70,70,0,0,0
330,,Undefined,Sydney Blomstrom,Mount Holyoke BB,4,416,69.3,66,70,74,69,66,71,0,0,0
331,,Undefined,Donglu Bai,Mount Holyoke BB,4,415,69.2,68,69,74,68,65,71,0,0,0
331,,Undefined,Mark Penas,Fordham PY,4,415,69.2,70,70,65,72,69,69,0,0,0
333,,Undefined,Mikayla Doherty,St. John DS,4,414,69,70,65,70,70,71,68,0,0,0
334,,Undefined,Krystel Freeland,CUNY AF,2,410,68.3,65,72,70,65,65,73,0,0,0
335,,Undefined,Syed Abbas Shah,Amherst CS,8,389,77.8,81,77,78,75,78,0,0,0,0
336,,Undefined,Ryan Cenek,Amherst CS,8,381,76.2,79,75,77,75,75,0,0,0,0
337,,Undefined,Roger Villarreal,East Carolina VG,4,368,73.6,73,73,77,74,71,0,0,0,0
338,,Undefined,Isidora Stankovic,Smith SC,7,364,72.8,73,72,71,73,75,0,0,0,0
339,,Undefined,Ha Cao,Smith SC,7,363,72.6,74,70,73,72,74,0,0,0,0
340,,Undefined,Corey Goss,East Carolina VG,4,359,71.8,72,73,75,69,70,0,0,0,0
341,,Undefined,Ian Childs,East Carolina MC,2,355,71,70,72,72,73,68,0,0,0,0
342,,Undefined,Jon Mayou,East Carolina MC,2,354,70.8,69,71,72,71,71,0,0,0,0
343,,Undefined,Mike Chininin,CUNY FC,3,349,69.8,75,0,66,68,72,68,0,0,0
344,,Undefined,LeAnn Frazer,CUNY FC,3,348,69.6,76,0,66,70,68,68,0,0,0
345,,Undefined,Adeline Buckingham,East Carolina GB,2,344,68.8,70,72,62,72,68,0,0,0,0
346,,Undefined,Melissa Glen,East Carolina GB,2,343,68.6,70,72,62,71,68,0,0,0,0
347,,Undefined,Swing One,Swing 1,7,303,75.8,0,74,77,78,74,0,0,0,0
348,,Undefined,Swing Two,Swing 1,7,300,75,0,74,76,78,72,0,0,0,0
349,,Undefined,Tori Koontz,Middlebury KW,4,291,72.8,71,72,74,74,0,0,0,0,0
350,,Undefined,Brigett Weinstein,Middlebury KW,4,290,72.5,70,73,73,74,0,0,0,0,0
351,1,Undefined,Shiphrah Dixon,Swing 2,6,226,75.3,0,82,0,70,74,0,0,0,0
352,2,Undefined,Colm O'Neill,Swing 2,6,225,75,0,80,0,70,75,0,0,0,0
352,,Undefined,Mathilda Scott,Mount Holyoke KS,4,225,75,74,76,75,0,0,0,0,0,0
352,,Undefined,Dana Kurzner,Mount Holyoke KS,4,225,75,75,75,75,0,0,0,0,0,0
355,,Undefined,Ayyan Zubair,Stony Brook NZ,1,80,80,80,0,0,0,0,0,0,0,0
356,,Undefined,Andrew Nwuba,Stony Brook NZ,1,79,79,79,0,0,0,0,0,0,0,0
357,,Undefined,James Edell,Stony Brook EO,1,75,75,75,0,0,0,0,0,0,0,0
358,,Undefined,Qiwei Shao,Hart House MS,0,74,74,74,0,0,0,0,0,0,0,0
358,,Undefined,Caraid McGinty,Hart House MS,0,74,74,74,0,0,0,0,0,0,0,0
360,,Undefined,Rebecca Oestreicher,Stony Brook EO,1,72,72,72,0,0,0,0,0,0,0,0
361,,Undefined,Swing D,Swing 3,3,70,70,0,0,0,0,70,0,0,0,0
361,,Undefined,Michael Carutola,Stony Brook CJ,1,70,70,70,0,0,0,0,0,0,0,0
361,,Undefined,Carlton Johnson,Stony Brook CJ,1,70,70,70,0,0,0,0,0,0,0,0
361,,Undefined,Isaiah Harris,Stony Brook HP,0,70,70,70,0,0,0,0,0,0,0,0
365,,Undefined,Swing C,Swing 3,3,69,69,0,0,0,0,69,0,0,0,0
366,,Undefined,Harleen Paul,Stony Brook HP,0,60,60,60,0,0,0,0,0,0,0,0
