Place,Novice,Gender,Speaker,Team,Team Points,Speaker Points,AVG,#1,#2,#3,#4,#5,#6,#7,#8,#9
62,,Undefined,Dan Stoyell,Cornell SJ,11,467,77.8,76,80,77,81,73,80,0,0,0
62,,Undefined,Sam Wolfe,Stanford LW,11,467,77.8,80,76,74,77,79,81,0,0,0
62,,Undefined,Graeme McGuire,Rochester FM,10,467,77.8,78,82,76,78,78,75,0,0,0
62,,Undefined,Adrian Ivashkiv,Columbia/Boston IP,12,467,77.8,78,78,79,80,74,78,0,0,0
69,,Undefined,Justin Kieran,McGill XK,10,466,77.7,78,79,76,80,79,74,0,0,0
69,,Undefined,Selene Figueroa,Denver MF,10,466,77.7,79,79,79,77,78,74,0,0,0
69,,Undefined,Matthew Feng,Duke FM,11,466,77.7,73,82,78,80,77,76,0,0,0
69,,Undefined,Marcelle Meyer,Fordham HM,9,466,77.7,79,80,73,79,79,76,0,0,0
69,,Undefined,Alexandra Johnson,Penn JT,11,466,77.7,74,77,78,79,77,81,0,0,0
69,,Undefined,Abhi Kulgod,Stanford KW,11,466,77.7,77,80,76,77,78,78,0,0,0
69,,Undefined,Dylan Desjardins,Bates DS,10,466,77.7,75,79,74,82,81,75,0,0,0
69,,Undefined,Cole Limbach,Bates HL,13,466,77.7,77,76,79,78,81,75,0,0,0
69,,Undefined,Taylor Murray,HWS MN,11,466,77.7,75,77,77,79,78,80,0,0,0
69,,Undefined,Safwan Jalal,Cornell SJ,11,466,77.7,78,79,76,80,74,79,0,0,0
69,,Undefined,Sophie Scharlin-Pettee,Vermont OS,12,466,77.7,78,78,79,75,80,76,0,0,0
69,,Undefined,Seyoung Jeon,Amherst/Penn JL,11,466,77.7,78,81,72,76,78,81,0,0,0
81,,Undefined,Fay Asimakopoulos,Harvard AP,10,465,77.5,77,76,75,81,80,76,0,0,0
81,,Undefined,Ellen Hinkley,Fordham HM,9,465,77.5,80,79,74,79,78,75,0,0,0
81,,Undefined,Arman Smigielski,Tufts CS,14,465,77.5,80,77,77,78,75,78,0,0,0
81,,Undefined,Michael Cooper,Stanford CK,11,465,77.5,74,80,76,81,79,75,0,0,0
81,,Undefined,Harry Meadows,Bates HM,12,465,77.5,76,81,77,77,79,75,0,0,0
81,,Undefined,James Ward,McGill WA,13,465,77.5,78,74,79,78,80,76,0,0,0
81,,Undefined,Mitchell Dorbyk,Queen's DP,11,465,77.5,79,77,75,78,79,77,0,0,0
88,,Undefined,Abigail Westberry,Bates WM,10,464,77.3,79,77,77,78,76,77,0,0,0
88,,Undefined,Chris Perkins,Rochester KP,11,464,77.3,73,81,79,77,76,78,0,0,0
88,,Undefined,Matthew Gallagher,Carleton GA,11,464,77.3,76,77,80,77,78,76,0,0,0
88,,Undefined,Daniel Huang,McGill HA,12,464,77.3,73,78,78,75,80,80,0,0,0
88,,Undefined,Jason Wee,Princeton WA,10,464,77.3,77,78,80,76,78,75,0,0,0
88,,Undefined,Gillian Tiley,Vermont GT,11,464,77.3,77,78,78,75,81,75,0,0,0
88,,Undefined,Nathaniel Carlsen,Bard BC,9,464,77.3,79,77,75,78,75,80,0,0,0
